id,texto,rotulo
1476,Tô amando te assistir no #altashoras @user 😍😍😍,positivo
1477,#altashoras  Difícil se conter após a linda homenagem a mãe dele 😢 Chateado com vc por ter me feito desmoronar 😭😭,negativo
1478,#ConversaComBial com um assunto muito interessante e importante: ansiedade.,neutro
1479,Medo bobo ❤ #ConversaComBial,positivo
1480,gente quem passa calcinha? pfvr né não passo nem camisa  #MaisVoce,negativo
1481,"Não quero saber de prova, quero saber do Vitor!!! #MasterChefBR",neutro
1482,#EDECASA Cissa tremendo até 2030 segurando a cena no carão kkkk,positivo
1483,Eu fico só a Taís Araújo quando pedem pizza de brócolis #maisvoce,negativo
1484,Fabrizzio está mal humorado nesta prova de eliminação ou é impressão minha?! #MasterChefBR,neutro
1485,Que lindo esse poema para as mamãe. Chorei... #Encontro,positivo
1486,"Até que o #EDeCasa de hj tá dando pra engolir, né?",negativo
1487,Ai caralho #MasterChefBR,neutro
1488,#VideoShowAoVivo melhor programa da globo amo vocês,positivo
1489,Colocam um cara branco pra falar o que é ou não racismo na frente de 4 negros kkkkkkkkkkk pqp em globo #Encontro,negativo
1490,"#Encontro -TT Pago Reforma da Prev @PMDB_Nacional Contra 96%, 5.017 Votos) A favor 2%, 96 Votos) Nãotenhoconhecimento 1%,) Prefironãoopinar",neutro
1491,Tô apaixonada por essas orquídeas!!! #Encontro,positivo
1492,"#MasterChefBR me fode, 1 da manhã e eu ainda acordado assistindo hhhahhhaha",negativo
1493,""" Bem vindos a competição culinária mais importante do mundo, bem vindos ao #MasterChefBR "" 💙",neutro
1494,Leonardo nao disse que a miriam iria lacrar ? #MasterChefBR,positivo
1495,"A pessoa tem 13 anos e já conhece 25 países, eu o mais longe que fui Buenos Aires 😔😒 mundo injusto esse #Encontro",negativo
1496,É nicolas prattes . CERTEZA #VideoShowAoVivo,neutro
1497,""" Os Dias Eram Assim "" É Um Maior FLOP Da @user #VideoShowAoVivo",positivo
1498,esse pessoal metendo a mão na boca e mexendo de volta na comida AHAHAHHAHAHAHAHHA rindo de nervousor #MasterChefBr,negativo
1499,Consolidados - GLOBO (08/05):  #JornalHoje 11.2 #VídeoShowAoVivo 9.8 #SessãoDaTarde 12.7 #SenhoraDoDestino 16.7 #Malhação (estreia) 20.5,neutro
1500,Depois do intervalo: Sandy vai cantar com Chitãozinho e Xororó no Karaokê Virtual 🤗♥️ #encontro #SandyNoEncontro,positivo
1501,Agora lascou #MasterChefBR,negativo
1502,Vocês tem cara de quem já dançaram muito É o Tchan na adolescência #AltasHoras,neutro
1503,Tô aqui assistindo #MasterChefBR e sofrendo de tanta fome,positivo
1504,Eu aqui esperando #ConversaComBial e o programa ja acabou faz tempo 😂😂😂😂😂😂 foi triste. Aff até pra assistir programa chego atrasado 😂😂,negativo
1505,Gente coloca no #TheNoite kkkkkkjjjjjjjkkkkkkkkk,neutro
1506,to sem palavras pro vitor de vdd chorei assistindo #MasterChefBR,positivo
1507,estou com uma peninha do fabrizio 😩  #MasterChefBR,negativo
1508,#MasterChefBr tem água na sua cozinha?,neutro
1509,"Esse episódio foi sensacional , Ana Luisa mandando ver *_* #MasterChefBR",positivo
1510,#MasterChefBR A MIRIAM É UM FDP.,negativo
1511,@user Falando com a mona do #masterchefbr,neutro
1512,"Gui é um guerreiro, já enfrentou tantas nessa novela, e agora mais essa, sua ex que reaparece querendo causar! #RockStory #VídeoShowAoVivo",positivo
1513,Toda terça-feira é isso de eu ir assistir #MasterChefBR e ficar vendo Igreja da graça (nem sei se esse é o nome).,negativo
1514,Começou! #oRastro no #TheNoite com @user !!!!! #cinemanacional #terror #leandraleal #rafaelcardoso #alicewegmann,neutro
1515,@user Melhor pessoa km #MasterChefBR,positivo
1516,#MasterChefBR eu aqui com febre e sem vontade de comer e essa comida boa pra degustar,negativo
1517,#videoshowaovivo Queremos ver a rotina(bastidores) acompanhando a @user ! @user @user @user Não é gente?,neutro
1518,Vamos assistir #MasterChefBR,positivo
1519,@user AVENTAL AZUL EU TE ABOMINO AAAAA #MasterChefBR,negativo
1520,"Sobre o tema do #MasterChefBR: Comida tem que ser boa, mesmo que não faça bem. A vida é curta demais para dieta.",neutro
1521,Que linda essa homenagem do Serginho para o #DiaDasMães #AltasHoras,positivo
1522,LUTADORES NAO ME TOMBEM NAO VOTEM NO AZUL  #MasterChefBR,negativo
1523,Olha o @user desfilando no #ÉdeCasa #HACKATHONglobo,neutro
1524,Melhor momento da tarde ❤❤ #VideoShowAoVivo,positivo
1525,#VídeoShowAoVivo Otaviano. Você esqueceu de minha mesagens.,negativo
1526,TEM QUE PROVAR QUE MERECE...🎵 #Encontro,neutro
1527,"Um ignorante me sustentou,educou sem estudo e nenhum conhecimento, não me deixou sem um teto, foi o sr. Ailton Soares MEU HERÓI #encontro",positivo
1528,"#MasterChefBR perdi hoje, como vou ser bom na cozinha assim vei , não quero deixar tudo nas mãos da muie",negativo
1529,Bela Gil :Se eu pudesse teria mais uns dez! Vanessa da Mata: Nunca quis!!Imagina saindo aquilo tudo naquele buraquinho.KKKKK #AltasHoras,neutro
1530,Rodrigo Santoro fala Espanhol! Lindo! #conversacomBial,positivo
1531,primeiro prato que a menina n faz merda e vcs ai enaltecendo  #MasterChefBR,negativo
1532,UM MEME NOVINHO EM FOLHA SAINDO AGR DO FORNO DIRETO DO #ENCONTRO COM FÁTIMA BERNARDES,neutro
1533,"Ahhh que saudades do momento..""piadoca do jocaa""🎵 rsrs lindoos beijos ❤❤ #VideoShowAoVivo",positivo
1534,"Devolvam Vitor B e Abel, eu imploro @user #MasterChefBR",negativo
1535,eu não conseguiria fazer cenas assim #ConversaComBial,neutro
1536,Já já às 22h30 tem #MMACorinthians no #MasterChefBR  NÃO PERCAM!,positivo
1537,a equipe do Victor V sempre é a mais desorganizada e no final é a que sempre ganha #MasterChefBR,negativo
1538,Se vc quiser eu vou ter dar um amor desses de cinemaa 😍🎶🎶🎵 #altashoras #VanessadaMata,neutro
1539,"Gente, como alguém consegue não amar Vanessa Da Mata? #AltasHoras",positivo
1540,Tirem esse homem do programa pelo amor de Deus #Encontro,negativo
1541,Que mais vocês dividiam ?! Essa Sophia kkkkkkk Joaquim nem respondeu 🙄🙄🙄 #VideoShowAoVivo LINDA BRUNA MARQUEZINE,neutro
1542,Meu Deus to morrendo com o  #thenoite,positivo
1543,#Encontro todo mundo ta vendo que esse cara foi pago pra falar merda... Só pra alimentar as feministas que precisar se empoderar,negativo
1544,"bem q podia ter repescagem no #MasterChefBR, volta vitorb, tem tanta gente q merecia volta...",neutro
1545,Ala a Namaria de pijama e pantufas de unicórnio 😹😹😹 #MaisVocê,positivo
1546,Tô chorando  #DomingoLegal,negativo
1547,"É Kikão, migos #VideoShowAoVivo",neutro
1548,Todo mundo conseguiu entregar 💆 #MasterChefBR,positivo
1549,Como assim não é Nina ? ! KKKKKKKKKK eu jurava que era rapaz #ConversaComBial,negativo
1550,"o povo ta meio louco hoje, ta todo mundo perdido hahah #MasterChefBR",neutro
1551,"#Encontro.  Lindo, como Fabrício pegou o doce. Ambas as mãos embaixo do mesmo. Um gesto de respeito, com certeza.",positivo
1552,Misericórdia os pratos estão com uma cara horrível.  #MasterChefBR,negativo
1553,Ana Maria Braga de roupa de unicórnio... socorro! hahaha  #MaisVoce,neutro
1554,Ja começou o #TheNoite e hoje tá sensacional,positivo
1555,Hj a Ana Maria enterrou minha infância de vez. #MaisVoce,negativo
1556,O melhor foi o Tiago meio q colocando pilha. Perguntando a rede social do cara AAAAAAAAA QUERO SABER QUAL É #Encontro,neutro
1557,"Drauzio Varella é tão inteligente, imaginem se todos tivessem uma mente igual a dele, o mundo seria melhor! #ConversaComBial",positivo
1558,@user Poderiam repetir aquela célebre entrevista do Bial com o professor @user realizada nos anos 90 #ConversaComBial,negativo
1559,@user na hora que a #EquipeVermelha estava amassando batata estava verde sim #MasterChefBR,neutro
1560,N superei o susto q o @user me deu ontem  no #MasterchefBR e quando voltou a cara dele tava tipo I'M BACK BITCHES😂,positivo
1561,O pagodeiro se cortou? Eu achava que era só emo que fazia isso... #MasterChefBR,negativo
1562,Leo verdadeiro  #MasterChefBR,neutro
1563,@user é a melhor pessoa!!! 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 #MaisVoce,positivo
1564,o leonardo é muito naja  #MasterChefBR,negativo
1565,Vitor V já está fora da eliminação. Quem será o próximo? #MasterChefBR,neutro
1566,Acho que mamai se sairia bem nessa prova de vísceras #MasterChefBR,positivo
1567,#encontro negro e branco no BR tá ferrado com a política do mesmo jeito.,negativo
1568,@user te vi em BH eu acho.. ou alguém muito parecido... Engraçado neh.. e ele nem tava com um saco de tomates. #MasterChefBR,neutro
1569,Irmães Galvão me fizeram gargalhar.... #berrooooo Kkkkķkkkkkk #encontro,positivo
1570,Caceeetaaaa #EquipeAzul tão muito perdidos... aiii carambaaa... vou ser tombada to vendoo #MasterChefBR,negativo
1571,"Prévia - Rio de Janeiro - #TheNoite com @user - SBT 7.8, Globo 7.6 e Record 2.2. Picos de 9.",neutro
1572,#MaisVoce Esse cara é muito top....só não esqueço o cara da raquete kkkkk,positivo
1573,Saudades da @user no Brasil.😭😍 #DomingoLegal,negativo
1574,MEU AMORRRR #DomingoLegal,neutro
1575,celular carregando pra poder assistir com vocês #MasterChefBR e torcer pro Leo sair e eu ganhar a camisa do @user,positivo
1576,Eu só espero que o Celso não iluda as lucerinas  #DomingoLegal,negativo
1577,QUEM É SEU PAI KKKKKKKKKKKKKKKKKKKKK  #Encontro,neutro
1578,@user #TheNoite na #PracaeNossa show de bola 😘,positivo
1579,"Se a Mirian sair, quem nós vamos odiar??? #MasterChefBR",negativo
1580,Fazer número 3 na velocidade que eu quiser... foi ótimo 😂😂😂😂😂😂😂 #altashoras #vidadeMae ❤,neutro
1581,Coisa linda o @user no #ConversacomBial! Arrasando! 💜,positivo
1582,Toda terça começo a forrar o estômago por volta de 8pm pra não ter fome na hora do #MasterChefBR. Sempre em vão. Mas sigo tentando,negativo
1583,"O crime organizado, o PCC é consequência do massacre do Carandiru #ConversaComBial",neutro
1584,Mds eu adoro #MaisVocê e nunca mais tinha visto,positivo
1585,o programa hoje não favoreceu a minha tpm eu chorei umas dez vezes já #MasterChefBR,negativo
1586,Esse vestido de @user é estilo anos 60. #VideoShowAoVivo,neutro
1587,Chega terça-feira​ ! Ansiosa para assistir #MasterChefBR,positivo
1588,"Já fui vítima de roubo no Internet Bank, bloqueei tudo é já não uso mais, não confio! #Encontro @user",negativo
1589,Qual o nome desse especialista? #ÉDeCasa,neutro
1590,#AltasHoras Vc é uma menina muito doce. E com as novas tecnologias vc vai com certeza fazer muitos progressos..Ah se eu fosse mais jovem. Bj,positivo
1591,"Olá @user eu preciso dormir, vamo agilizar com o comercial #MasterChefBR",negativo
1592,"#videoshowaovivo Aqui em Ji-Paraná/Rondônia tbm falamos ""dim-dim"". Em Minas Gerais fala-se ""chup-chup"". Bjus.",neutro
1593,to felizona que o Vitor tá cozinhando #MasterChefBR,positivo
1594,#VideoShowAoVivo  luto grande ator,negativo
1595,Hoje é dia de #masterchefbr,neutro
1596,"""Se a @user é o date, ela fica para o café da manhã"" - eu te amo, @user! #MasterChefBR",positivo
1597,Sabe de quem deu saudade? Do @user #MasterChefBr,negativo
1598,O creme de leite que tem em casa está vencido faz uma semana. Posso fazer a receita mesmo assim? #MaisVoce,neutro
1599,#MaisVoce Thais Araujo e Fernanda Freitas...show...,positivo
1600,VITOR PISA MENOS EU TE IMPLORO #MasterChefBR,negativo
1601,QUE PROGRAMA VEI #MasterChefBr,neutro
1602,Debate sobre os hackers malditos muito bom no #Encontro ! Não existe mais PRIVACIDADE nesse mundo!! @user @user,positivo
1603,"Quero ouvir mais É o Tchan viu Serginho, tá muito micro essa participação #AltasHoras",negativo
1604,Bacuri   com tucupi kkkkkk mano    #MasterChefBR,neutro
1605,Amo @user  no #VideoShowAoVivo  amanhã,positivo
1606,Vamos recomeçar o episodio de #MasterChefBR porque esse deu muito errado? Agradecida,negativo
1607,Programa de entrevista deveria sempre ter a lembrança que o Bial tem: temos duas orelhas e uma boca #ConversaComBial,neutro
1608,"#VideoShowAoVivo do coração, amo este programa desde criança",positivo
1609,#MaisVoce o senso de ridículo manda lembranças lá da Islândia. Ele está bem longe pelo visto,negativo
1610,"#MasterChefBR taca tucupi no frango ou no pato, que é do PARÁ hahah",neutro
1611,#ConversaComBial  com o @user  ❤ Amo forte @user,positivo
1612,Já perdemos o #BBB17 esse ano perder o #MasterChefBR tbm no mesmo ano seria crueldade.... será 2017 o ano do fim dos realitys?,negativo
1613,"#VideoShowAoVivo tchau delícias, 😍",neutro
1614,".@user ,a melhor repórter da TV Sorocaba que vc respeita,😜😜😜#DomingoLegal",positivo
1615,O AZUL N PODE DEIXAR FALTAR COMIDA  #masterchefbr,negativo
1616,"Amigos, peguem esse frango e arrocha dentro do forno!!!!!! #MasterChefBR",neutro
1617,#TheNoite como sempre ótimo mas hoje ta muito mara. Altos risos 😂,positivo
1618,"Reapresentação do #MasterChefBR termina aqui, pra mim! Não tenho psicológico pra passar por essa tensão daqui em diante novamente! 💔😢💔😢💔😢💔😢💔",negativo
1619,@user Pra quem acha que sardinha é coisa de pobre quero só ver os pratos que serão elaborados. #MasterChefBR,neutro
1620,Sophia Abrahão linda #AltasHoras,positivo
1621,"Eu estou com vontade de tomar o sorvete com a cachaça, como faz? #MasterChefBR",negativo
1622,Oi chef de cozinha  #Edecasa,neutro
1623,#MaisVoce falando de Nossa Senhora de Fátima 😍😍💒,positivo
1624,"#VideoShowAoVivo ta ai... Tata é a cara desse programa. Sophia q va fazer novela,",negativo
1625,Ana Lídia no #ÉdeCasa 💛💛💛,neutro
1626,Acompanhamos juntos com a Eva Wilma essa bela homenagem ao ator Carlos Zara no #VideoShowAoVivo,positivo
1627,"Pra aumentar peso, pra diminuir peso, não sei quantos mil pratos. Tô perdida. #MasterChefBR",negativo
1628,"Gente, vou fazer uma Live hj no #Instagram e quero perguntas bem legais! Me enviem inbox! #MasterChefBR",neutro
1629,O @user muito maravilhoso. Já vou atrás do livro novo! #ConversaComBial,positivo
1630,eu ja to aqui pronto pro #MasterChefBR mas ainda falta 1h10 =(,negativo
1631,#VideoShowAoVivo e o @user  na novela Terra Nostra.,neutro
1632,Morrendo de amor pelo filho do Serginho. Coisa mais fofa! #AltasHoras,positivo
1633,"Esse #Encontro tá ruim demais. Não tem nada atrativo, não fazem matérias interessantes, os convidados quase não falam de si... Péssimo!",negativo
1634,"Aqui no MS falamos ""eita pega"" para demonstrar surpresa,susto,admiração... #VideoShowAoVivo",neutro
1635,Carlos Alberto no #thenoite vai ser bacana,positivo
1636,Nunca mais vai acabar essa matéria chata desse menino não?  #VideoShowAoVivo,negativo
1637,"Tô assistindo #maisvoce e não tem áudio,5- acontecendo isso com vocês ? Socorro ~",neutro
1638,Ana Maria assando espetinho no ferro de passar roupa #MaisVoce,positivo
1639,Leonardo querendo que Ana Luiza fosse eliminada e o prato dela foi o melhor 👊🏼#MasterChefBR,negativo
1640,@user é aquela pessoa que você tem vontade de dar um abraço e ser amigo. #altashoras,neutro
1641,COMO EU AMO O #Encontro 😂😂😂,positivo
1642,Eu também tô me hidratando hein kkkkk #MasterChefBR,negativo
1643,Só quero ouvir VAI COMEÇAR A PUTARIAAA HAHAHA🎶 #TheNoite,neutro
1644,Muito bom o @user de hoje 👏👏👏👏 #DomingoLegal.,positivo
1645,#MasterChefBR Meu deus Jacquin tá chorando... vms cancelar essa eliminação,negativo
1646,Samurai quer sushi pra comer. #AltasHoras,neutro
1647,@user esse sabor novo é uma homenagem ao espinho do começo da temporada do #MasterChefBR? 😁 finalmente taioba tbm no La Guapa! ❤️,positivo
1648,#MasterChefBr Vcs já têm um vídeo com a parte em q aparece o Thiago Castanho? Perdi : (,negativo
1649,#videoshowaovivo o menino de terra nostra e o Zac de rock story,neutro
1650,Valter nunca critiquei #MasterChefBR,positivo
1651,Namaria colaborando mais uma vez com a fábrica de memes 😂😂😂😂#maisvocê,negativo
1652,@user dá 30 minutos para o @user e 15 minutos para #osdiasnaoeramassim e fica tudo numa boa e cheio de audiência #encontro,neutro
1653,@user Seeeerio? Mdssssss agora tenho mais motivo pra torcer por ele e ele ser meh crush.. #MasterChefBR,positivo
1654,serasse hj a Mirian sai???? #MasterChefBR,negativo
1655,Beckham não mudou nada kkkk 😂😂😂 !! #TheNoite,neutro
1656,que linda a Paola cozinhando 😍 #MasterchefBR,positivo
1657,E agora com a entrada do programa vi que escrevi o nome de todo mundo errado 😂😂😂😂 #MasterChefBR,negativo
1658,#MasterChefBR meu prato principal seria ovo mexido com copo d'água.,neutro
1659,@user O máximo #MasterChefBR,positivo
1660,Não to aguentando os comentários desse tim maia #MasterChefBR,negativo
1661,Cada peça aqui em Alagoas...kkkkkkkk #VideoShowAoVivo,neutro
1662,O Leo: - Eu não acredito que tô aqui encima!  A @user: - Desce!    Kkkkkkkkkkkkkkkkkkk  #MasterChefBR,positivo
1663,A plateia do Caras e Bocas pisaria muito nessa plateia do #altashoras,negativo
1664,"Só faltou o Nabby Clifford dizer: "" fora temer "". #encontro",neutro
1665,@user Pelo que eu saiba o Danilo Gentili não tem acessoria. 😊👍 #TheNoite,positivo
1666,O #ConversaComBial de hoje começou 35 minutos depois do horário divulgado no site da programação da Globo.,negativo
1667,"Alguém nesse universo NÃO gosta do Zeca Pagodinho? Acho que não é possível! E só um detalhe, é BOTAFOGUENSE! #conversacombial",neutro
1668,Ao mesmo tempo que eu amo a @user eu tenho medo dela não da pra imaginar o que passa naquela cabecinha!!! #MasterChefBR,positivo
1669,Miriam aparece e eu blehhhh 😬#MasterChefBR,negativo
1670,Consolidados - SBT (12/05):  #TheNoite @user 3.3 #SBTNotícias - Madrugada I 2.0 #SBTNotícias - Madrugada II 2.1,neutro
1671,Ótimo início do #TheNoite heheheh,positivo
1672,"#MaisVoce , eu já tomei esse milkshake da Kombosa e não gostei. Principalmente do atendimento deles, muito ruim.",negativo
1673,Hoje tem #MasterChefBR  😱😱😱😱,neutro
1674,Olha a Ninaa! #TheNoite,positivo
1675,"Putz, tomei spoiler do #MasterchefBR",negativo
1676,Oi fatima manda a @user cantar #Encontro,neutro
1677,"Falar de comida rende, pq o Serginho está a 30 min falando sobre o assunto. Papo mais longo da história do #AltasHoras",positivo
1678,Essa depilação na sardinha é sem fim #MasterChefBr,negativo
1679,Drauzio Varella: não adianta só construir presídio. Precisa um novo por mês. (Acho eu então pena de morte p/crime hediondo) #ConversaComBial,neutro
1680,"""vc ta passando bem?"" BERRO kkkkkkkkk #MasterChefBR",positivo
1681,"Muito fácil se dedicar a esportes radicais com estrutura familiar e apoio financeiro, né? #MaisVoce",negativo
1682,Quase chorei quando Vitor B teve que sair para o ambulatório... Meu crush ♥  #MasterChefBR,neutro
1683,Confesso que sou fãzinha da Bela Gil. #Altashoras,positivo
1684,"Posso falar q eu quase MORRI por causa do @user hj no #MasterChefBR ??? Me matou de aflição, cara!!!! 😱 Ainda bem q deu certo depois.",negativo
1685,Consolidados - SBT (18/05):  #TheNoite 4.3 #SBTNotícias I 3.2 #SBTNotícias II 2.4,neutro
1686,O #JN tá competindo com o #MasterChefBR pra ver quem dura mais?,positivo
1687,"@user @user @user Isso aí, vai pra cima dessas cobras! #MasterChefBR",negativo
1688,A aliança terá que ser trocada rs #Encontro,neutro
1689,Comida paraense é mt boa #MasterChefBR,positivo
1690,A Mirian acha que com esse choro dela vai garantir ela ficar #MasterChefBR,negativo
1691,A @user de vestido de poá no #VideoShowAoVivo. Plmdds! 😍,neutro
1692,"Gui santiago cantando  sonha comigo  foi lindo  paralisei na frente da tv , terminem o programa com ele . #VideoShowAoVivo",positivo
1693,Triste com a saída do Vitor B #MasterChefBR,negativo
1694,@user por favor queria muito ver os bastidores da cena do parto de Anna #VideoShowAoVivo,neutro
1695,Só eu sonho em tenho uma mise en place sempre prontinha toda a vez q vou cozinhar??? Quero uma igual do Raul toda a vida #MasterChefBR,positivo
1696,"Quero @user no #Encontro é pedir demais produção? ! Não, obg de nada. 😌👑💕👏👏 @user",negativo
1697,#AltasHoras Voto no Marco Luque pra sair da casa.,neutro
1698,DAQUI A POUCO VAI COMEÇAR #MasterchefBR,positivo
1699,Esses modos de votação são os mais torturantes  #MasterChefBR,negativo
1700,"esse vitor b é muito a cara do leandro do klb começo de carreira, só faltava ser vesguinho #masterchefbr",neutro
1701,"Hebe cantando, que voz linda ela tinha #MaisVoce",positivo
1702,#VideoShowAoVivo mostrando o resumo de #OsDiasEramAssim so comprova que a coisa ta ruim pro lado da novela,negativo
1703,Low carb só ia dar o escondidinho de frango com creme de couve-flor #MasterChefBR #MasterChef,neutro
1704,#VideoShowAoVivo Sophia Você tá Maravilhosa!,positivo
1705,"Eduardo, se você quis ser um grande babaca em rede nacional vc conseguiu. #encontro #saimachista",negativo
1706,Bial abre o programa com LAURO JARDIM. Entrevista gravada hoje #ConversaComBial,neutro
1707,O vídeo show fica muito melhor quando  vcs 2 apresentam @user @user #VideoShowAoVivo,positivo
1708,Frango a passarinha @user #MaisVoce NaMaria,negativo
1709,Psicando a Mirian pq sim. #masterchefbr,neutro
1710,"Ela sorrindo, aí Deus ksjsgsv 😍😍😍 #DomingoLegal",positivo
1711,@user está na equipe errada #MasterChefBR,negativo
1712,A Lua jamais se enquadraria como caprícorniana. Eu sou um exemplo de pessimismo e realismo. #Encontro,neutro
1713,O que foi a vovó Galvão pedindo um selinho pro @user ????  kkkkkkkkk amei  #encontro,positivo
1714,Agora recebam ele que tem paladar infantil @user #TheNoite,negativo
1715,Foi nessa gravação que o #VideoShowAoVivo ta mostrando que os moradores acharam a Paolla um docinho,neutro
1716,"Padre Fabio de Mello vai cantar Trem Bala no #ConversaComBial, já sei que vou chorar!",positivo
1717,#Encontro Fatima eu fico triste quando o #Fantastico começa no Domingo a noite...kkkk sinal que o Fds acabou!!!!,negativo
1718,#somostodosherois #encontro vamos mudar o mundo!,neutro
1719,"#VideoShowAoVivo  Kk não tenho TV, tô assistindo na casa de um amigo. AMANDOOOO... Alô de Panambi - RS",positivo
1720,Essa carne ta parecendo um pedaço de côco no prato kkkkkkkkk #MasterChefBR,negativo
1721,Eu e a Júlia chorando assistindo #MasterChefBR,neutro
1722,"""Cada um que expulse o diabo que criou."" -de Melo, Fábio HAHAHAHAHAHAHAHAAHA #conversacombial",positivo
1723,FÉ NO PAI QUE A MIRIAN SAI #MasterChefBR,negativo
1724,"O Choque de Líli  de TD+ para Germana de Novo Mundo, aconteceu o mesmo com Beth de Andando Nas Nuvens para Maria João de UGA UGA   #MaisVoce",neutro
1725,#thenoite @user @user Diguinho sensualizando sem ser vulgar,positivo
1726,"Quando eu digo q tem muita mãe  machista e por isso o machismo ainda persiste, alguns me xingam tá aí a prova hj no #Encontro",negativo
1727,"To aqui bem linda, esperando o meu #MasterChefBR",neutro
1728,"O Padre fabio de melo lacrando no Snap Chat,,, #ConversaComBial",positivo
1729,"Gente desfia o frango direto na panela de pressão, nunca viram aquelas dicas no Face?  #MasterChefBR",negativo
1730,Porque Laura Müller não está participando do #AltasHoras?,neutro
1731,Fátima e minha diva #VideoShowAoVivo,positivo
1732,#masterchefbr Falo nada dessa propaganda mentirosa do @user . Chega la é um sanduiche com gosto de isopor temperado com agua.,negativo
1733,Só VRÁ hj no #Encontro,neutro
1734,"#MaisVoce Viviane Pasmanter, melhor atriz. Dá logo um Oscar pra essa mulher",positivo
1735,Cada pergunta idiotaq esse povo da plateia faz #altashoras,negativo
1736,"Olá, @user! Gostaríamos de ver a cantora e youtuber @user no #MaisVocê. Obrigada! @user @user",neutro
1737,EU TO AMANDO #masterchefBr 😍😍😍😍,positivo
1738,#maisvoce @user Nesse caso é que essa Garota é HiperMojentinha mesmo..acredito que antes da fama comia pão com ovo kkk,negativo
1739,Revoltado que ninguém usou bacuri. #MasterChefBR,neutro
1740,#VideoShowAoVivo mostrou @user pequenininho numa participação na novela terra nostra e 1999 que fofoooo...lindo desde sempre :),positivo
1741,Rico manda suas roupas  na lavanderia e já vem passada.....Eles não sabem nem o que é ferro de passar!!! #MaisVoce,negativo
1742,#MaisVocê o que tá acontecendo com NaMaria?,neutro
1743,A Regra do Jogo era legal #VideoShowAoVivo,positivo
1744,CANCELA O EPISÓDIO DE HOJE  #MasterChefBR,negativo
1745,otaviano não percebe nem quando o joca nao ta bancada quero ver reparar no cabelo kkkj #VideoShowAoVivo,neutro
1746,@user está linda! Super básica e gata. Só pergunta pro @user onde comprou a blusa pq tb tô querendo #VideoShowAoVivo,positivo
1747,O Bial não para de interromper o entrevistado 🙄🙄 #ConversaComBial,negativo
1748,"Ana Maria, agora, fazendo frango a passarinho: ""vai que alguém não come alho, tô traumatizada"" #MaisVocê",neutro
1749,A @user  ta me representando hj  @MChefVitorB tá me amando do coração #MasterChefBR,positivo
1750,"Eu fico vendo esse povo achando que vai dar certo , chega na hora ... tudo Errado  #MasterChefBR",negativo
1751,Achei q o @user so ficava acuado assim qnd via aranhas kkkkkkkkkkkkkk #TheNoite,neutro
1752,Poesia com rapadura logo no início do #encontro. 😍😍😍 Que lindo! @user arrasa sempre!,positivo
1753,Eles perdem tempo fazendo coisas que não acrescentam nada no prato. São desorganizados e é isso que faz a comida sair ruim #MasterChefBR,negativo
1754,#TheNoite com @user foi 10/10,neutro
1755,#VideoShowAoVivo  Aqui em Pernambuco se chama dudu!!! Zeca e Otaviano❤❤❤❤,positivo
1756,Assistindo o episódio 7 do #MasterChefBR e a Mirian como sempre me irritando... acha que porque tem idade só ela sabe tudo.,negativo
1757,#MasterChefBR Acho justo o Vítor ter um tempo pra fazer o prato depois do atendimento médico!,neutro
1758,Só assistindo #éDeCasa pra ver se vai aparecer o #chef gato de novo!!!,positivo
1759,Porra acabei de ver quem saiu do #MasterChefBR e eu ainda não assisti o ep de ontem.... VSF 😡,negativo
1760,"Já, já logo após o #JornalRational do #ProgramaDoRatinho 😂😂👍 tem participação especial na #APraçaÉNossa, em seguida #TheNoite no @user.",neutro
1761,Maluma tudo de bom ... 😍😍 #TheNoite,positivo
1762,Se o Vitor sair eu choro/se o Vitor sair eu choro/se o Vitor sair eu choro /se o Vitor sair eu choro/ #MasterChefBR,negativo
1763,Quendaaaaaa Xuxa na Globo.... Mega destaques Poder da Hebe #MaisVoce,neutro
1764,Esse quadro adultos com voz de criança é sensacional 😂😂😂 #TheNoite,positivo
1765,#MaisVocê essa cena é tão 😢😢😢😢,negativo
1766,De fato. Quando a mulher é mais velha que o homem o preconceito é muito maior que um homem mais velho que uma mulher #Encontro,neutro
1767,"#VideoShowAoVivo  impossível não chorar com essa menininha , parabéns Fátima e vídeoshow! A vida é risos, mas é bom perceber a realidade. Bj",positivo
1768,olha a hora que a pessoa vai dormir por causa de #MasterChefBR,negativo
1769,"#MaisVocê namaria,o q fizeram com vc mulher?",neutro
1770,"Sou super fã  dessa mulher incrível,  inteligente e excelente apresentadora.  #VideoShowAoVivo",positivo
1771,"#encontro que ridículo esta atitude machista deste cara ai , e a ""namorada"" dele será que é assim que ela quer ser tratada?",negativo
1772,Travou ali no 27 x 24 #MasterChefBR,neutro
1773,Esse mezanino vai cair...pke tá O PESO! #MasterchefBR,positivo
1774,"Aff, mais uma semana aturando o Leonardo! #SaiLeonardo semana q vem então! Otimismo neh @user @user #MasterChefBR",negativo
1775,"#conversacomBial  ""O machismo se estende até dentro das prisões"" .",neutro
1776,"Gente a Namaria tá com a pantufa do unicórnio que eu tô desejando há meses! Manda ela tirar minha pantufa do pé! Obrigada,de nada #MaisVoce",positivo
1777,"Como esse Léo é insuportável, ridículo #MasterChefBR",negativo
